
132,Al Mawakeb School Al Khawaneej L.L.C,AL MIZHAR FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
133,Dwight School L.L.C,Dubai Sports City,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
134,Pearl Wisdom School L.L.C,HOR AL ANZ,KG 1 - GRADE 8 Academic CalendarFees Fact Sheet
135,Dunecrest American School L.L.C,Al Barari,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
136,Fairgreen International School L.L.C,Dubai Land,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
137,Newlands School,AL WARQA FIRST,FS 1 - YEAR 12 Academic CalendarFees Fact Sheet
138,Amity School L.L.C,AL QUSAIS FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
139,South View School L.L.C,Dubai Land,FS 1 - YEAR 12 Academic CalendarFees Fact Sheet
140,Global Indian International School L.L.C,AL QOUZ FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
141,The Aquila School,Dubai Land,FS 1 - YEAR 11 Academic CalendarFees Fact Sheet
142,Bright Riders School,DUBAI INVESTMENT PARK FIRST,Pre primary - GRADE 8 Academic CalendarFees Fact Sheet
143,Al Salam Community School L.L.C,"AL TWAR SECOND
",FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
144,Ambassador International Academy L.L.C,AL QOUZ SECOND,"ECC (2-3) - GRADE 10,GRADE 9 - GRADE 9 Academic CalendarFees Fact Sheet"
145,Australian International School - Dubai L.L.C,AL BARSHA SECOND,Pre primary - GRADE 7 Academic CalendarFees Fact Sheet
146,Chinese School Dubai,MIRDIF,GRADE 1 - GRADE 8 Academic CalendarFees Fact Sheet
147,The National Charity School For Girls,AL GARHOUD,GRADE 1 - GRADE 12 Academic CalendarFees Fact Sheet
148,Al Eman Educational EST,AL RASHIDIYA,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
149,Al Arqm Private School,AL BARSHA FIRST,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
150,Islamic School for Training & Education,MUHAISNAH FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
151,Smart Vision School,AL BARSHA SECOND,ECC (2-3) - YEAR 7 Academic CalendarFees Fact Sheet
152,International School of Creative Science Nad Alshiba L.L.C,NADD AL SHIBA THIRD,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
153,Capital School L.L.C,AL QUSAIS FIRST,FS 1 - YEAR 11 Academic CalendarFees Fact Sheet
154,Dove Green Private School L.L.C,DUBAI INVESTMENT PARK FIRST,FS 1 - YEAR 10 Academic CalendarFees Fact Sheet
